Employer Name,Employer Industry,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?
"David Evans and Associates, Inc.",Civil Engineering,https://www.deainc.com/,,,,None,,,,,,TRUE,TRUE,TRUE
DC Engineering PC,Engineering & Construction,http://www.dcengineering.net,,Full-Time,,None,,"Biomedical Engineering, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Biomedical Engineering, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
DCI Engineers,Civil Engineering,http://www.dci-engineers.com,,"Full-Time, Part-Time","BIM Designer, BIM Designer, Civil Engineering Project Manager, Civil Project Engineer, Structural Engineering Project Manager, Structural Project Engineer","BIM Designer, BIM Designer, Civil Engineering Project Manager, Civil Project Engineer, Structural Engineering Project Manager, Structural Project Engineer",,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS","Job, Internship","Junior, Senior, Masters, Alumni",TRUE,TRUE,FALSE
"Electrical Consultants, Inc.",Energy,https://eciusa.com/,,Full-Time,,"Electrical Engineer, Civil/Mechanical Engineer",,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters",TRUE,FALSE,FALSE
EPC Services Company,Engineering & Construction,http://www.eciusa.com,,Full-Time,,"Assistant Project Manager, Electrical Field Test Engineer, Electrical Field Test Technician",,,,"Job, Internship","Junior, Senior, Masters",TRUE,FALSE,FALSE
FOCUS Consulting,Civil Engineering,http://focus-es.com,FOCUS BOISE,"Full-Time, Part-Time",,"Rodman, Site Civil Design Cad, Cad Drafters,  Land Surveyors, Admin/HR/Accounting/Marketing","Accountancy BA, Accountancy BBA, Accountancy/Finance BBA, Business Administration, Business Administration Bba, Business Administration F/T, Business Administration P/T, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Engineering, Engineering Bs, Entrepreneurship Mgmt BBA, General Business, General Business BA, General Business BBA, General Business BS, Human Resource Management BA, Human Resource Management BBA, Human Resource Management BS, Management BBA, Marketing BBA, Pre-Bus: Accountancy, Pre-Bus: Business Admin, Pre-Bus: Business Economics, Pre-Bus: Entrep Management, Pre-Bus: Finance, Pre-Bus: HR Management, Pre-Business, Pre-Business Accountancy, Pre-Business Administration, Pre-Business Economics, Pre-Business Finance, Pre-Business Marketing, Pre-Engineering, Pre-Entrepreneurship Mgmt, Pre-Human Resource Management, Project Management M-Online, Project Mgmt Bach-Online","Civil/Environmental Engineering, Construction Engineering, General Engineering","Accountancy BA, Accountancy BBA, Accountancy/Finance BBA, Business Administration, Business Administration Bba, Business Administration F/T, Business Administration P/T, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Entrepreneurship Mgmt BBA, General Business, General Business BA, General Business BBA, General Business BS, Human Resource Management BA, Human Resource Management BBA, Human Resource Management BS, Management BBA, Marketing BBA, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Bus: Accountancy, Pre-Bus: Business Admin, Pre-Bus: Business Economics, Pre-Bus: Entrep Management, Pre-Bus: Finance, Pre-Bus: HR Management, Pre-Business, Pre-Business Accountancy, Pre-Business Administration, Pre-Business Economics, Pre-Business Finance, Pre-Business Marketing, Pre-Engineering, Pre-Entrepreneurship Mgmt, Pre-Human Resource Management, Pre-Mechanical Engineering, Project Management M-Online, Project Mgmt Bach-Online","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Alumni",TRUE,TRUE,TRUE
Framatome Inc.,Utilities and Renewable Energy,https://www.nuclearcareers.com,,Full-Time,,Early Career Engineer and Engineering Interns,,"Computer Engineering, Electrical Engineering, Mechanical Engineering, Physics","Bachelor of Applied Science, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Geophysics BS, Geophysics, MS, Geophysics, PhD, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Physics BS, Physics, Secondary Education, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters",TRUE,TRUE,TRUE
FTI,Construction,https://www.faithtechinc.com/,Engineering,Full-Time,,None,,"Construction Engineering, Electrical Engineering, General Engineering, Mechanical Engineering","Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior",TRUE,FALSE,FALSE
Gayle Manufacturing Company,Manufacturing,http://www.gaylemfg.com,Construction Management,Full-Time,,None,,,,"Job, Internship",,TRUE,FALSE,TRUE
GeoTek,Civil Engineering,http://www.geotekusa.com,,Full-Time,,None,,,,"Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
