Employer Name,Employer Industry,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?
Stantec,Architecture and Planning,https://www.stantec.com/en,,"Full-Time, Part-Time",,Intern & Full-time,,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior, Alumni",TRUE,TRUE,TRUE
Tamarack Grove Engineering,Civil Engineering,http://www.tamarackgrove.com,,Full-Time,,None,,,,"Job, Internship","Junior, Senior, Masters, Alumni",TRUE,TRUE,TRUE
TD&H Engineering,Civil Engineering,http://www.tdhengineering.com,,"Full-Time, Part-Time",,"Civil, structural, electrical, geotechnical, mechanical, and environmental engineering",,,,"Job, Internship","Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate",TRUE,FALSE,TRUE
The Land Group,Architecture and Planning,http://www.thelandgroupinc.com/,,Full-Time,,Civil Engineer,,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS",Job,Senior,TRUE,FALSE,FALSE
"Tokyo Electron U.S. Holdings, Inc. (TEL)",Manufacturing,http://www.tel.com,RESUME COLLECT,Full-Time,,None,,,,"Job, Internship, Cooperative Education","Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate, Postdoctoral Studies, Certificate Program, First Year Community / Technical College, Second Year Community / Technical College, Alumni",TRUE,FALSE,FALSE
Trinity Consultants,Environmental Services,http://www.trinityconsultants.com,,Full-Time,"Environmental Engineering Consultant- Boise, ID","Environmental Engineering Consultant- Boise, ID",,"Civil/Environmental Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
U.S. Department of State,"Government - Local, State & Federal",https://careers.state.gov,Bureau of Diplomatic Security,Full-Time,Diplomatic Security Special Agent,Diplomatic Security Special Agent,,,,Job,"Freshman, Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate",FALSE,FALSE,FALSE
U.S. Navy,"Government - Local, State & Federal",https://www.navy.com/,NUPOC,"Full-Time, Part-Time","Nuclear Propulsion Officer Candidate (NUPOC) Program $30,000 Bonus Potential to Earn $200,000 While a Student, Surface Warfare Officer, Enlisted Opportunity, Oceanography Officer, Supply Corps Officer","Nuclear Propulsion Officer Candidate (NUPOC) Program $30,000 Bonus Potential to Earn $200,000 While a Student, Surface Warfare Officer, Enlisted Opportunity, Oceanography Officer, Supply Corps Officer",,,,"Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate, Postdoctoral Studies, Certificate Program, First Year Community / Technical College, Second Year Community / Technical College, Alumni",TRUE,FALSE,FALSE
Ulteig,Utilities and Renewable Energy,http://www.ulteig.com/,,Full-Time,,None,,,,"Job, Internship","Junior, Senior, Masters",TRUE,FALSE,FALSE
"University of Washington, Foster School of Business",Higher Education,https://foster.uw.edu/,,Full-Time,,None,,,,Graduate School,,FALSE,FALSE,FALSE
"Vector Structural Engineering, LLC",Civil Engineering,http://www.vectorse.com,,"Full-Time, Part-Time",,None,,,,"Job, Internship","Junior, Senior, Masters, Doctorate",FALSE,FALSE,FALSE
Vertiv,Manufacturing,http://www.vertiv.com,Electrical Reliability Services,Full-Time,,ERS Electrical Technician,,,,Job,"Senior, Masters",TRUE,FALSE,FALSE
Visual Concepts,Internet & Software,https://vcentertainment.com/,,Full-Time,,"Engineering Intern, Associate Engineer",,"Computer Programming, Computer Science, Electrical Engineering","Artificial Intelligence Sci BS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computing PhD, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS","Job, Internship","Sophomore, Junior, Senior, Masters, Doctorate, Postdoctoral Studies, Alumni",TRUE,TRUE,TRUE
Washington State Department of Transportation,"Government - Local, State & Federal",http://wsdotjobs.com,,Full-Time,,None,,,,"Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,FALSE,TRUE
"Wright Brothers, The Building Company, Eagle LLC",Construction,https://wbnation.com/,,"Full-Time, Part-Time",,"Interns, Construction Project Engineers ",,,,"Job, Internship",,FALSE,FALSE,FALSE
"WSB & Associates, Inc.",Civil Engineering,http://www.wsbeng.com,,Full-Time,,None,,"Civil/Environmental Engineering, Construction Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Junior, Senior, Masters",TRUE,FALSE,FALSE
WSP,Engineering & Construction,https://www.wsp.com/en-us,,Full-Time,,None,,"Civil/Environmental Engineering, Construction Engineering, Electrical Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Alumni",TRUE,TRUE,TRUE
